Disease,Description
عدوى فطرية,العدوى الفطرية هي حالة جلدية شائعة تسببها الفطريات.
حساسية,الحساسية هي رد فعل من جهاز المناعة تجاه مادة في البيئة.
ارتجاع المريء,ارتجاع المريء هو اضطراب هضمي يؤثر على العضلة العاصرة السفلية للمريء.
ركود الصفراء المزمن,ركود الصفراء المزمن هو حالة يقل فيها تدفق الصفراء من الكبد لفترة طويلة.
تفاعل دوائي,التفاعل الدوائي يحدث عندما يتفاعل الجسم بشكل سلبي مع الدواء.
قرحة المعدة,مرض القرحة الهضمية يتضمن قروحاً تتطور في البطانة الداخلية للمعدة والأمعاء الدقيقة.
الإيدز,الإيدز (متلازمة نقص المناعة المكتسب) هو مرض يسببه فيروس نقص المناعة البشرية ويضعف جهاز المناعة.
السكري,السكري هو حالة مزمنة تؤثر على كيفية معالجة الجسم للسكر في الدم.
التهاب المعدة والأمعاء,التهاب المعدة والأمعاء هو التهاب في المعدة والأمعاء، عادة ما يكون سببه فيروس أو بكتيريا.
الربو الشعبي,الربو الشعبي هو حالة تنفسية تتميز بالتهاب المجاري الهوائية.
ارتفاع ضغط الدم,ارتفاع ضغط الدم هو حالة قلبية وعائية شائعة.
الصداع النصفي,الصداع النصفي هو نوع من الصداع يتضمن غالباً ألماً شديداً وحساسية للضوء والصوت.
تآكل الفقرات العنقية,تآكل الفقرات العنقية هو حالة تنكسية في العمود الفقري العنقي.
الشلل (نزيف المخ),الشلل (نزيف المخ) يشير إلى فقدان وظيفة العضلات بسبب نزيف في الدماغ.
اليرقان,اليرقان هو اصفرار الجلد والعينين، غالباً ما يشير إلى مشاكل في الكبد.
الملاريا,الملاريا هي مرض معدي ينتقل عن طريق البعوض ويؤثر على البشر والحيوانات.
جدري الماء,جدري الماء هو عدوى فيروسية شديدة العدوى تسبب طفحاً جلدياً مثيراً للحكة.
حمى الضنك,حمى الضنك هي عدوى فيروسية تنتقل عن طريق البعوض وتسبب أعراضاً تشبه الإنفلونزا.
التيفوئيد,التيفوئيد هو عدوى بكتيرية يمكن أن تؤدي إلى حمى مرتفعة وأعراض معوية.
التهاب الكبد أ,التهاب الكبد أ هو مرض فيروسي يصيب الكبد.
التهاب الكبد ب,التهاب الكبد ب هو عدوى فيروسية تهاجم الكبد.
التهاب الكبد ج,التهاب الكبد ج هو عدوى فيروسية تسبب التهاب الكبد.
التهاب الكبد د,التهاب الكبد د هو مرض كبدي خطير يسببه فيروس التهاب الكبد د.
التهاب الكبد ه,التهاب الكبد ه هو عدوى فيروسية تسبب التهاب الكبد.
التهاب الكبد الكحولي,التهاب الكبد الكحولي هو التهاب في الكبد بسبب استهلاك الكحول.
السل,السل هو عدوى بكتيرية تؤثر بشكل رئيسي على الرئتين.
نزلة البرد,نزلة البرد هي عدوى فيروسية في الجهاز التنفسي العلوي.
الالتهاب الرئوي,الالتهاب الرئوي هو حالة التهابية تؤثر على الحويصلات الهوائية في الرئتين.
البواسير,البواسير هي حالة تتميز بتورم الأوعية الدموية في المستقيم.
النوبة القلبية,النوبة القلبية هي انخفاض مفاجئ وشديد في تدفق الدم إلى عضلة القلب.
الدوالي,الدوالي هي أوردة متضخمة وملتوية تظهر عادة في الساقين.
قصور الغدة الدرقية,قصور الغدة الدرقية هو حالة لا تنتج فيها الغدة الدرقية ما يكفي من هرمون الغدة الدرقية.
فرط نشاط الغدة الدرقية,فرط نشاط الغدة الدرقية هو حالة تنتج فيها الغدة الدرقية الكثير من هرمون الغدة الدرقية.
نقص سكر الدم,نقص سكر الدم هو حالة تتميز بانخفاض غير طبيعي في مستويات السكر في الدم.
التهاب المفاصل العظمي,التهاب المفاصل العظمي هو مرض تنكسي في المفاصل يؤثر على الغضروف في المفاصل.
التهاب المفاصل,التهاب المفاصل هو التهاب في مفصل واحد أو أكثر، مما يسبب الألم والتيبس.
الدوار الوضعي,الدوار الوضعي هو نوع من الدوخة يسببها حركات رأس معينة.
حب الشباب,حب الشباب هو حالة جلدية تحدث عندما تنسد بصيلات الشعر بالزيت وخلايا الجلد الميتة.
التهاب المسالك البولية,التهاب المسالك البولية هو عدوى في أي جزء من الجهاز البولي.
الصدفية,الصدفية هي حالة جلدية مزمنة تتميز ببقع حمراء وحكة وقشور.
القوباء,القوباء هي عدوى جلدية شديدة العدوى تسبب قروحاً حمراء يمكن أن تنفتح.