Disease,Medication
عدوى فطرية,"['كريم مضاد للفطريات', 'فلوكونازول', 'تيربينافين', 'كلوتريمازول', 'كيتوكونازول']"
حساسية,"['مضادات الهيستامين', 'مزيلات الاحتقان', 'أدرينالين', 'كورتيكوستيرويدات', 'العلاج المناعي']"
ارتجاع المريء,"['مثبطات مضخة البروتون', 'محصرات H2', 'مضادات الحموضة', 'أدوية تحسين حركة الأمعاء', 'المضادات الحيوية']"
ركود الصفراء المزمن,"['حمض أورسوديوكسيكوليك', 'كوليسترامين', 'ميثوتريكسات', 'كورتيكوستيرويدات', 'زراعة الكبد']"
تفاعل دوائي,"['مضادات الهيستامين', 'أدرينالين', 'كورتيكوستيرويدات', 'المضادات الحيوية', 'كريم مضاد للفطريات']"
قرحة المعدة,"['المضادات الحيوية', 'مثبطات مضخة البروتون', 'محصرات H2', 'مضادات الحموضة', 'عوامل حماية الغشاء المخاطي']"
الإيدز,"['أدوية مضادة للفيروسات القهقرية', 'مثبطات البروتياز', 'مثبطات التكامل', 'مثبطات الدخول', 'مثبطات الانصهار']"
السكري,"['أنسولين', 'ميتفورمين', 'سلفونيل يوريا', 'مثبطات DPP-4', 'منبهات مستقبل GLP-1']"
التهاب المعدة والأمعاء,"['المضادات الحيوية', 'أدوية مضادة للقيء', 'أدوية مضادة للإسهال', 'سوائل IV', 'البروبيوتيك']"
الربو الشعبي,"['موسعات الشعب الهوائية', 'كورتيكوستيرويدات مستنشقة', 'معدلات الليكوترين', 'مثبتات الخلايا البدينة', 'مضادات الكولين']"
ارتفاع ضغط الدم,"['أدوية مضادة لارتفاع ضغط الدم', 'مدرات البول', 'محصرات بيتا', 'مثبطات ACE', 'محصرات قنوات الكالسيوم']"
الصداع النصفي,"['أدوية مسكنة', 'تريبتانات', 'مشتقات الإرغوتامين', 'أدوية وقائية', 'التغذية المرتدة']"
تآكل الفقرات العنقية,"['مسكنات الألم', 'مرخيات العضلات', 'العلاج الطبيعي', 'دعامات العنق', 'كورتيكوستيرويدات']"
الشلل (نزيف المخ),"['مميعات الدم', 'أدوية محللة للتجلط', 'مضادات الاختلاج', 'العلاج الطبيعي', 'العلاج الوظيفي']"
اليرقان,"['سوائل IV', 'نقل الدم', 'زراعة الكبد', 'أدوية للحكة', 'أدوية مضادة للفيروسات']"
الملاريا,"['أدوية مضادة للملاريا', 'أدوية خافضة للحرارة', 'أدوية مضادة للقيء', 'سوائل IV', 'نقل الدم']"
جدري الماء,"['أدوية مضادة للفيروسات', 'مسكنات الألم', 'سوائل IV', 'نقل الدم', 'نقل الصفائح الدموية']"
حمى الضنك,"['المضادات الحيوية', 'أدوية خافضة للحرارة', 'مسكنات الألم', 'سوائل IV', 'كورتيكوستيرويدات']"
التيفوئيد,"['التطعيم', 'أدوية مضادة للفيروسات', 'سوائل IV', 'نقل الدم', 'زراعة الكبد']"
التهاب الكبد أ,"['التطعيم', 'أدوية مضادة للفيروسات', 'سوائل IV', 'نقل الدم', 'زراعة الكبد']"
التهاب الكبد ب,"['أدوية مضادة للفيروسات', 'سوائل IV', 'نقل الدم', 'نقل الصفائح الدموية', 'زراعة الكبد']"
التهاب الكبد ج,"['أدوية مضادة للفيروسات', 'سوائل IV', 'نقل الدم', 'نقل الصفائح الدموية', 'زراعة الكبد']"
التهاب الكبد د,"['أدوية مضادة للفيروسات', 'سوائل IV', 'نقل الدم', 'نقل الصفائح الدموية', 'زراعة الكبد']"
التهاب الكبد ه,"['الإقلاع عن الكحول', 'كورتيكوستيرويدات', 'سوائل IV', 'زراعة الكبد', 'دعم غذائي']"
التهاب الكبد الكحولي,"['المضادات الحيوية', 'إيزونيازيد', 'ريفامبين', 'إيثامبوتول', 'بيرازيناميد']"
السل,"['أدوية خافضة للحرارة', 'مزيلات الاحتقان', 'أدوية مثبطة للسعال', 'مضادات الهيستامين', 'مسكنات الألم']"
نزلة البرد,"['المضادات الحيوية', 'أدوية مضادة للفيروسات', 'أدوية مضادة للفطريات', 'سوائل IV', 'علاج بالأكسجين']"
الالتهاب الرئوي,"['ملينات', 'مسكنات الألم', 'حمامات دافئة', 'كمادات باردة', 'حمية غنية بالألياف']"
البواسير,"['نيتروجليسرين', 'أسبرين', 'محصرات بيتا', 'محصرات قنوات الكالسيوم', 'أدوية مذيبة للتجلط']"
النوبة القلبية,"['جوارب ضغط', 'تمارين', 'رفع الساقين', 'العلاج بالتصليب', 'علاجات بالليزر']"
الدوالي,"['ليفوثيروكسين', 'أدوية مضادة للغدة الدرقية', 'محصرات بيتا', 'يود مشع', 'جراحة الغدة الدرقية']"
قصور الغدة الدرقية,"['أدوية مضادة للغدة الدرقية', 'يود مشع', 'جراحة الغدة الدرقية', 'محصرات بيتا', 'كورتيكوستيرويدات']"
فرط نشاط الغدة الدرقية,"['أقراص الجلوكوز', 'حلوى أو عصير', 'حقن الجلوكاجون', 'ديكستروز IV', 'ديازوكسايد']"
نقص سكر الدم,"['مسكنات الألم', 'تمارين', 'كمادات ساخنة وباردة', 'حماية المفاصل', 'العلاج الطبيعي']"
التهاب المفاصل العظمي,"['NSAIDs', 'أدوية معدلة لداء الروماتويد', 'البيولوجيات', 'كورتيكوستيرويدات', 'جراحة استبدال المفصل']"
التهاب المفاصل,"['إعادة تأهيل vestibular', 'إعادة وضع الحصى', 'أدوية للغثيان', 'جراحة', 'تمارين منزلية']"
(الدوار) الدوار الوضعي الانتيابي,"['علاجات موضعية', 'المضادات الحيوية', 'أدوية فموية', 'علاجات هرمونية', 'إيزوتريتينوين']"
حب الشباب,"['المضادات الحيوية', 'مسكنات الألم', 'مضادات الهيستامين', 'كورتيكوستيرويدات', 'علاجات موضعية']"
التهاب المسالك البولية,"['المضادات الحيوية', 'أدوية مسكنة للمسالك البولية', 'فينازوبيريدين', 'أدوية مضادة للتشنجات', 'البروبيوتيك']"
الصدفية,"['علاجات موضعية', 'العلاج بالضوء', 'أدوية جهازية', 'البيولوجيات', 'قطران الفحم']"
القوباء,"['مضادات حيوية موضعية', 'مضادات حيوية فموية', 'مطهرات', 'مرهم', 'كمادات دافئة']"